"","Plot","Year","Subplot","HeatTrt","WaterTrt","RichnessTrt","Yo","S","Dq0","Dq1","Dq2","BP","p.Ag","biomass","invSimpEven","LegumeBiomass","ForbBiomass","C3Biomass","C4Biomass"
"18",108,2017,"NW","Heated","Control",16,322.2,7,7,5.05726637479536,4.47481335655029,0.337274984481688,0.337274984481688,1,0.639259050935756,0.345530726256984,0.100341402855369,0.0322780881440099,0.521849782743637
"19",108,2017,"SE","Control","Control",16,500.93,8,8,4.04512919398379,3.50435739357222,0.368255045615156,0.0499071726588545,1,0.438044674196527,0.250993152735911,0.657177649571797,0.0263509871638751,0.0654782105284171
"20",108,2017,"SW","Heated","Drought",16,245.11,6,6,4.22949632399971,3.7247217888397,0.391946473012117,0.263269552445841,1,0.620786964806616,0.447431765329852,0,0.121863653053731,0.430704581616418
"21",109,2017,"NE","Control","Drought",1,125.6,1,1,1,1,1,1,1,1,0,0,0,1
"22",109,2017,"NW","Heated","Drought",1,80.8,1,1,1,1,1,1,1,1,0,0,0,1
"23",109,2017,"SE","Control","Control",1,117.93,1,1,1,1,1,1,1,1,0,0,0,1
"24",109,2017,"SW","Heated","Control",1,114.33,1,1,1,1,1,1,1,1,0,0,0,1
"25",110,2017,"NE","Control","Control",4,97,4,4,3.49028051111307,3.29550213169148,0.366288659793814,0,1,0.823875532922869,0.668041237113402,0,0.0584536082474227,0.273505154639175
"26",110,2017,"NW","Heated","Control",4,176.21,4,4,3.19311703117403,2.62418692474407,0.561091879008002,0,1,0.656046731186018,0.298904715963907,0,0.140003405028091,0.561091879008002
"27",110,2017,"SE","Control","Drought",4,153.27,3,3,1.80718513627668,1.47811227318047,0.807724929862334,0,0.999999999999999,0.492704091060155,0.192275070137665,0,0,0.807724929862334
"28",110,2017,"SW","Heated","Drought",4,84,4,4,3.66027912962531,3.42494045913812,0.378571428571429,0,1,0.85623511478453,0.507142857142857,0,0.114285714285714,0.378571428571429
"29",137,2017,"NE","Control","Drought",1,172.93,1,1,1,1,1,0,1,1,1,0,0,0
"30",137,2017,"NW","Heated","Control",1,275.93,1,1,1,1,1,0,1,1,1,0,0,0
"31",137,2017,"SE","Control","Control",1,199.07,1,1,1,1,1,0,1,1,1,0,0,0
"32",137,2017,"SW","Heated","Drought",1,269.27,1,1,1,1,1,0,1,1,1,0,0,0
"33",138,2017,"NE","Control","Drought",4,317,3,3,1.30073603199032,1.14386458499195,0.932902208201893,0,1,0.381288194997317,0,0.932902208201893,0.0670977917981073,0
"34",138,2017,"NW","Heated","Drought",4,211.12,3,3,1.09960635420674,1.03784633861216,0.981432360742706,0,1,0.345948779537387,0,0.982000757862827,0.0179992421371732,0
"35",138,2017,"SE","Control","Control",4,158.34,3,3,1.43326897281825,1.21749312227052,0.902298850574713,0,1,0.405831040756839,0,0.916193002399899,0.083806997600101,0
"36",138,2017,"SW","Heated","Control",4,348.14,2,2,1.08932415560185,1.03429032031857,0.983138967082208,0,1,0.517145160159284,0,0.983138967082208,0.0168610329177917,0
"37",167,2017,"NE","Control","Control",1,152.13,1,1,1,1,1,0,1,1,0,1,0,0
"38",167,2017,"NW","Heated","Control",1,204.93,1,1,1,1,1,0,1,1,0,1,0,0
"39",167,2017,"SE","Control","Drought",1,409.07,1,1,1,1,1,0,1,1,0,1,0,0
"40",167,2017,"SW","Heated","Drought",1,279.93,1,1,1,1,1,0,1,1,0,1,0,0
"41",176,2017,"NE","Control","Drought",4,381.86,2,2,1.63583699846912,1.45536160547599,0.805871261718955,0,1,0.727680802737997,0,0.805871261718955,0,0.194128738281045
"42",176,2017,"NW","Heated","Control",4,238.53,3,3,1.31443144103898,1.1444945117638,0.932922483545047,0,1,0.381498170587933,0,0.932922483545047,0.00951662264704649,0.0575608938079068
"43",176,2017,"SE","Control","Control",4,281.2,3,3,1.75163129285333,1.48929048214069,0.79800853485064,0,1,0.496430160713563,0,0.79800853485064,0.0166073968705548,0.185384068278805
"44",176,2017,"SW","Heated","Drought",4,185,3,3,1.59634351181738,1.36412624973495,0.843243243243243,0,1,0.454708749911649,0,0.843243243243243,0.00864864864864865,0.148108108108108
"45",201,2017,"NE","Control","Control",4,181.6,3,3,2.07051077275457,1.94948176811506,0.607213656387665,0,1,0.649827256038354,0.392786343612335,0,0,0.607213656387665
"46",201,2017,"NW","Heated","Control",4,185.33,2,2,1.22852504149015,1.11048083948207,0.947499055738413,0,1,0.555240419741034,1,0,0,0
"47",201,2017,"SE","Control","Drought",4,202.6,3,3,2.19647538741402,2.0931594443634,0.488647581441264,0,1,0.6977198147878,0.511352418558737,0,0,0.488647581441264
"48",201,2017,"SW","Heated","Drought",4,244.07,3,3,2.25328525797831,2.00935531590073,0.624943663703036,0,1,0.669785105300243,0.676855000614578,0,0,0.323144999385422
"49",202,2017,"NE","Control","Control",16,539.86,8,8,4.77384006341305,3.8635132645758,0.396899196087875,0.396899196087875,1,0.482939158071975,0.0443263068202867,0.161893824324825,0.0918756714703812,0.701904197384507
"50",202,2017,"NW","Heated","Drought",16,461.68,7,7,1.85001276898296,1.34774352854926,0.85845174146595,0.85845174146595,1,0.192534789792751,0.078560907988217,0.0176529197712702,0.0405692254375325,0.86321694680298
"51",202,2017,"SE","Control","Drought",16,421.06,8,8,2.91773128572846,2.15207695612482,0.646629933976155,0.646629933976155,1,0.269009619515603,0.0102360708687598,0.193654111053057,0.0386405737899587,0.757469244288224
"52",202,2017,"SW","Heated","Control",16,531.94,7,7,3.6391679249689,2.45174494692288,0.611854720457194,0.611854720457194,1,0.35024927813184,0.137477911042599,0.0503816219874422,0.0745760800090236,0.737564386960935
"53",220,2017,"NE","Control","Drought",16,342.44,8,8,4.85552457685322,4.12231561813185,0.353930615582292,0.353930615582292,1,0.515289452266481,0.467819180002336,0.00146010980025698,0.143879219717323,0.386841490480084
"54",220,2017,"NW","Heated","Control",16,456.19,8,8,4.89980246424844,3.92159680507092,0.34268616146781,0.334224774764901,1,0.490199600633865,0.476687345185121,0.0252745566540257,0.0559635239702755,0.442074574190579
"55",220,2017,"SE","Control","Control",16,312.47,8,8,4.89214851417545,3.88687557416631,0.423496655678945,0.0712708420008321,1,0.485859446770789,0.298268633788844,0.00128012289179761,0.101129708452011,0.599321534867347
"56",220,2017,"SW","Heated","Drought",16,538.01,7,7,3.49488270988411,2.60991957265432,0.563688407278675,0.228006914369621,0.999999999999999,0.372845653236331,0.144365346369027,0.563688407278675,0.0574896377390755,0.234456608613222
"57",223,2017,"NE","Control","Drought",4,88.86,3,3,1.34254810173281,1.15014468829943,0.931015079900968,0,1,0.383381562766475,0,0.931015079900968,0.0689849200990321,0
"58",223,2017,"NW","Heated","Drought",4,190.54,2,2,1.06675367170348,1.02411079881992,0.988086491025506,0,1,0.512055399409961,0,0.988086491025506,0.0119135089744935,0
"59",223,2017,"SE","Control","Control",4,363.33,3,3,1.30313644230589,1.12915087771071,0.939999449536234,0,1,0.376383625903571,0,0.939999449536234,0.0600005504637658,0
"60",223,2017,"SW","Heated","Control",4,455.54,2,2,1.23438601492519,1.11413832081768,0.945844492250955,0,1,0.557069160408838,0,0.945844492250955,0.0541555077490451,0
"61",229,2017,"NE","Control","Control",4,155.86,3,3,2.15432611081926,2.05895171327358,0.530796868984986,0.530796868984986,0.999999999999999,0.686317237757859,0,0,0.0179648402412421,0.982035159758757
"62",229,2017,"NW","Heated","Control",4,239.31,4,4,1.76229843528838,1.4838700470868,0.800635159416656,0.0175504575655008,1,0.370967511771699,0.180518992102294,0,0.00129539091554887,0.818185616982157
"63",229,2017,"SE","Control","Drought",4,51.33,4,4,2.78476942240307,2.37230064106356,0.559711669588934,0.314241184492499,0.999999999999999,0.593075160265891,0.0909799337619326,0,0.0350672121566335,0.873952854081433
"64",229,2017,"SW","Heated","Drought",4,180.6,4,4,3.51918685373668,3.21613863747389,0.428959025470653,0.204485049833887,1,0.804034659368471,0.27796234772979,0,0.08859357696567,0.63344407530454
"65",230,2017,"NE","Control","Control",1,42.13,1,1,1,1,1,0,1,1,0,0,0,1
"66",230,2017,"NW","Heated","Drought",1,1.67,1,1,1,1,1,0,1,1,0,0,0,1
"67",230,2017,"SE","Control","Drought",1,11.4,1,1,1,1,1,0,1,1,0,0,0,1
"68",230,2017,"SW","Heated","Control",1,84.53,1,1,1,1,1,0,1,1,0,0,0,1
"69",233,2017,"NE","Control","Drought",4,290.39,3,3,2.69809459505002,2.53935600982694,0.43985674437825,0,1,0.846452003275647,0.43985674437825,0.427459623265264,0.132683632356486,0
"70",233,2017,"NW","Heated","Drought",4,351.47,3,3,2.60952878759659,2.43334616995257,0.474777363644123,0,1,0.81111538998419,0.474777363644123,0.416906137081401,0.108316499274476,0
"71",233,2017,"SE","Control","Control",4,544.86,3,3,1.66703682810362,1.38448208660664,0.838380501413207,0,1,0.461494028868881,0.13715449840326,0.838380501413207,0.0244650001835334,0
"72",233,2017,"SW","Heated","Control",4,466,3,3,1.77631608880821,1.49612009766011,0.796995708154506,0,1,0.498706699220036,0.180836909871245,0.796995708154506,0.0221673819742489,0
"73",237,2017,"NE","Control","Drought",1,7.13,1,1,1,1,1,0,1,1,0,0,1,0
"74",237,2017,"NW","Heated","Drought",1,1.27,1,1,1,1,1,0,1,1,0,0,1,0
"75",237,2017,"SE","Control","Control",1,1,1,1,1,1,1,0,1,1,0,0,1,0
"76",237,2017,"SW","Heated","Control",1,0.36,1,1,1,1,1,0,1,1,0,0,1,0
"77",253,2017,"NE","Control","Control",16,404.33,10,10,5.77317992362735,4.59657356339001,0.354982316424703,0.206267158014493,1,0.459657356339001,0.550045754705316,0.00544110009150941,0.055054040016818,0.389459105186357
"78",253,2017,"NW","Heated","Control",16,252.64,8,8,3.99776006066377,3.36908211605673,0.37472292590247,0.37472292590247,1,0.421135264507092,0.215444901836605,0.345432235592147,0.0443318556048132,0.394791006966434
"79",253,2017,"SE","Control","Drought",16,104.63,9,9,4.1961921416809,2.7475268414026,0.572780273344165,0.572780273344165,1,0.305280760155845,0.160374653541049,0.0107999617700468,0.0974863805791838,0.73133900410972
"80",253,2017,"SW","Heated","Drought",16,524.27,8,8,3.60758115625625,2.72787548362807,0.488813016193946,0.488813016193946,1,0.340984435453508,0.420775554580655,0,0.0324260400175482,0.546798405401797
"81",268,2017,"NE","Control","Drought",1,51.47,1,1,1,1,1,0,1,1,0,0,1,0
"82",268,2017,"NW","Heated","Drought",1,94.73,1,1,1,1,1,0,1,1,0,0,1,0
"83",268,2017,"SE","Control","Control",1,66.67,1,1,1,1,1,0,1,1,0,0,1,0
"84",268,2017,"SW","Heated","Control",1,7.2,1,1,1,1,1,0,1,1,0,0,1,0
"85",273,2017,"NE","Control","Drought",16,676.32,7,7,3.11260892460945,2.56007919432913,0.456588597113792,0.421398154719659,0.999999999999999,0.365725599189876,0.0476105985332387,0.473252306600426,0.0423911757747812,0.436745919091554
"86",273,2017,"NW","Heated","Control",16,817.29,7,7,2.58899451839517,2.13770751532782,0.604106253594195,0.604106253594195,1,0.305386787903974,0.0580699629262563,0.316533910851718,0.0195768943704193,0.605819231851607
"87",273,2017,"SE","Control","Control",16,533.08,7,7,4.12624801179319,3.1420638046819,0.494991370901178,0.494991370901178,1,0.4488662578117,0.119062804832295,0.0377616868012306,0.0928003301568245,0.75037517820965
"88",273,2017,"SW","Heated","Drought",16,358.01,7,7,3.05858280928916,2.30659972279122,0.612077874919695,0.612077874919695,1,0.329514246113032,0.214156029161197,0.0193849333817491,0.108013742632887,0.658445294824167
"89",280,2017,"NE","Control","Control",1,45.47,1,1,1,1,1,0,1,1,0,0,0,1
"90",280,2017,"NW","Heated","Control",1,254.73,1,1,1,1,1,0,1,1,0,0,0,1
"91",280,2017,"SE","Control","Drought",1,82.93,1,1,1,1,1,0,1,1,0,0,0,1
"92",280,2017,"SW","Heated","Drought",1,99.33,1,1,1,1,1,0,1,1,0,0,0,1
"93",282,2017,"NE","Control","Drought",1,17.87,1,1,1,1,1,0,1,1,0,0,0,1
"94",282,2017,"NW","Heated","Drought",1,104.8,1,1,1,1,1,0,1,1,0,0,0,1
"95",282,2017,"SE","Control","Control",1,138.2,1,1,1,1,1,0,1,1,0,0,0,1
"96",282,2017,"SW","Heated","Control",1,56.93,1,1,1,1,1,0,1,1,0,0,0,1
"97",286,2017,"NE","Control","Control",4,114.46,3,3,2.88199801300396,2.77423861012655,0.459549187489079,0,1,0.924746203375517,0.459549187489079,0,0.230036694041587,0.310414118469334
"98",286,2017,"NW","Heated","Control",4,121.26,4,4,3.11725068514054,2.55955150436792,0.568447963054593,0,1,0.63988787609198,0.568447963054593,0,0.170460168233548,0.261091868711859
"99",286,2017,"SE","Control","Drought",4,193.74,4,4,3.13324495231291,2.59254074740887,0.559874058015898,0,1,0.648135186852218,0.206823577991122,0,0.15035614741406,0.642820274594818
"100",286,2017,"SW","Heated","Drought",4,162.07,4,4,3.47157009527667,3.20151571593519,0.388720923057938,0,0.999999999999999,0.800378928983797,0.192941321651138,0,0.0740420805824644,0.733016597766397
"101",290,2017,"NE","Control","Control",1,205.6,1,1,1,1,1,0,1,1,0,1,0,0
"102",290,2017,"NW","Heated","Drought",1,4.2,1,1,1,1,1,0,1,1,0,1,0,0
"103",290,2017,"SE","Control","Drought",1,510.4,1,1,1,1,1,0,1,1,0,1,0,0
"104",291,2017,"NE","Control","Control",1,265.67,1,1,1,1,1,0,1,1,1,0,0,0
"105",291,2017,"NW","Heated","Drought",1,142,1,1,1,1,1,0,1,1,1,0,0,0
"106",291,2017,"SE","Control","Drought",1,137.73,1,1,1,1,1,0,1,1,1,0,0,0
"107",291,2017,"SW","Heated","Control",1,159,1,1,1,1,1,0,1,1,1,0,0,0
"108",299,2017,"NE","Control","Control",16,440.14,8,8,4.91237146560406,4.01278564279485,0.403212614168219,0.403212614168219,1,0.501598205349356,0.219770981960285,0,0.138592266097151,0.641636751942564
"109",299,2017,"NW","Heated","Control",16,413.33,5,5,3.23060466659705,2.76637186492256,0.493383011153316,0.493383011153316,1,0.553274372984511,0.317107396027387,0,0.101444366486827,0.581448237485786
"110",299,2017,"SE","Control","Drought",16,292.61,10,10,7.13160790107684,6.40124134598467,0.211441850927856,0.16906462526913,1,0.640124134598467,0.347014797853798,0.0963740131916203,0.0553637948122074,0.501247394142374
"111",299,2017,"SW","Heated","Drought",16,448.74,6,6,3.0607022385802,2.22610901609207,0.64001426215626,0.64001426215626,1,0.371018169348678,0.169519097918616,0,0.0891384766234345,0.741342425457949
"112",301,2017,"NE","Control","Control",16,344.07,10,10,4.49415515528443,3.34590317346055,0.487313628040806,0.487313628040806,1,0.334590317346055,0.2090853605371,0.00485366349870666,0.0789664893771617,0.707094486587032
"113",301,2017,"NW","Heated","Drought",16,320.02,8,8,5.10307088415421,4.22813504379103,0.369351915505281,0.245203424785951,1,0.528516880473878,0.496843947253296,0.00046872070495594,0.081244922192363,0.421442409849384
"114",301,2017,"SE","Control","Drought",16,316.58,11,11,4.93244328559227,3.4758800318759,0.484143028618359,0.100037905110872,1,0.3159890938069,0.173100006317519,0.507296733842947,0.0795375576473561,0.240065702192178
"115",301,2017,"SW","Heated","Control",16,354.62,10,10,4.38255187688179,2.93569746469094,0.544611133043822,0.544611133043822,1,0.293569746469094,0.163921944616773,0.0570751790649146,0.0618126445208956,0.717190231797418
"116",325,2017,"NE","Control","Drought",4,154.34,4,4,1.73239355778743,1.36969558565703,0.847933134637813,0,1,0.342423896414258,0.847933134637813,0.00563690553323831,0.0600622003369185,0.0863677594920306
"117",325,2017,"NW","Heated","Drought",4,340.67,4,4,2.4652515770264,2.04231216373853,0.654005342413479,0,1,0.510578040934634,0.217219009598732,0.654005342413479,0.00763201925617166,0.121143628731617
"118",325,2017,"SE","Control","Control",4,185.74,4,4,2.98952032644326,2.71521287301572,0.432163238936147,0,1,0.67880321825393,0.399860019381932,0.432163238936147,0.0226122536879509,0.14536448799397
"119",325,2017,"SW","Heated","Control",4,178.6,4,4,3.00759046092579,2.53022788467559,0.55431131019037,0,1,0.632556971168897,0.55431131019037,0.132866741321389,0.053023516237402,0.25979843225084
"120",328,2017,"NE","Control","Control",16,420.75,7,7,3.09552288113676,2.13947135874332,0.660724896019014,0.660724896019014,1,0.30563876553476,0.218680926916221,0,0.0819251336898396,0.69939393939394
"121",328,2017,"NW","Heated","Drought",16,275.76,7,7,2.92492076065836,2.04688999791515,0.676929213809109,0.676929213809109,1,0.292412856845021,0.12264287786481,0.135879025239339,0.0548665506237308,0.68661154627212
"122",328,2017,"SE","Control","Drought",16,287.81,9,9,4.29633159014093,3.30845973104389,0.430596574128766,0.111427677982002,1,0.367606636782654,0.0569820367603628,0.744240992321324,0.0662589903061047,0.132517980612209
"123",328,2017,"SW","Heated","Control",16,359.25,6,6,4.50571790165379,4.07754236351693,0.359443284620738,0.253667362560891,1,0.679590393919489,0.497870563674322,0.0938900487125957,0.154572025052192,0.253667362560891
"124",338,2017,"NE","Control","Control",1,274.07,1,1,1,1,1,0,1,1,0,1,0,0
"125",338,2017,"NW","Heated","Drought",1,148.13,1,1,1,1,1,0,1,1,0,1,0,0
"126",338,2017,"SE","Control","Drought",1,92.2,1,1,1,1,1,0,1,1,0,1,0,0
"127",338,2017,"SW","Heated","Control",1,148.6,1,1,1,1,1,0,1,1,0,1,0,0
"128",29,2018,"NE","Control","Control",1,48.6,1,1,1,1,1,0,1,1,1,0,0,0
"129",29,2018,"NW","Heated","Drought",1,81.27,1,1,1,1,1,0,1,1,1,0,0,0
"130",29,2018,"SE","Control","Drought",1,29.4,1,1,1,1,1,0,1,1,1,0,0,0
"131",29,2018,"SW","Heated","Control",1,53.27,1,1,1,1,1,0,1,1,1,0,0,0
"132",69,2018,"NE","Control","Drought",1,7.8,1,1,1,1,1,0,1,1,0,1,0,0
"133",69,2018,"NW","Heated","Control",1,7.73,1,1,1,1,1,0,1,1,0,1,0,0
"134",69,2018,"SE","Control","Control",1,7.07,1,1,1,1,1,0,1,1,0,1,0,0
"135",69,2018,"SW","Heated","Drought",1,21.67,1,1,1,1,1,0,1,1,0,1,0,0
"136",82,2018,"NE","Control","Drought",16,131.42,9,9,3.70438866589653,2.90626219551349,0.511870339369959,0.180566123877644,1,0.322918021723721,0.0604169837163293,0.23139552579516,0.00509815857555928,0.703089331912951
"137",82,2018,"NW","Heated","Control",16,457.86,7,7,2.63570479926725,1.71340351858991,0.756410256410256,0.756410256410256,1,0.244771931227131,0.105272353994671,0,0.0260559996505482,0.868671646354781
"138",82,2018,"SE","Control","Control",16,654.26,10,10,3.43627977128703,2.61691787129961,0.476461957020145,0.476461957020145,1,0.261691787129961,0.416653929630422,0.0287347537676153,0.00988903494023783,0.544722281661725
"139",82,2018,"SW","Heated","Drought",16,460.6,7,7,1.95036220644383,1.45172220703586,0.821385149804603,0.821385149804603,1,0.207388886719408,0.114350846721668,0.00319148936170213,0.0330004342162397,0.849457229700391
"140",83,2018,"NE","Control","Control",1,5,1,1,1,1,1,0,1,1,1,0,0,0
"141",83,2018,"NW","Heated","Drought",1,30.13,1,1,1,1,1,0,1,1,1,0,0,0
"142",83,2018,"SE","Control","Drought",1,45,1,1,1,1,1,0,1,1,1,0,0,0
"143",83,2018,"SW","Heated","Control",1,69.07,1,1,1,1,1,0,1,1,1,0,0,0
"144",108,2018,"NE","Control","Drought",16,419.52,6,6,3.65504611751098,3.00705587153165,0.47084763539283,0.47084763539283,1,0.501175978588608,0.305563501144165,0,0.0252669717772693,0.669169527078566
"145",108,2018,"NW","Heated","Control",16,302.68,9,9,5.06108115834177,4.16437012289775,0.369598255583454,0.369598255583454,0.999999999999999,0.462707791433083,0.291628122109158,0.0273225849081538,0.0557354301572618,0.625313862825426
"146",108,2018,"SE","Control","Control",16,398.8,7,7,3.67294991705721,2.91922409723078,0.465396188565697,0.465396188565697,1,0.417032013890111,0.340346038114343,0.0571715145436309,0.0192326980942828,0.583249749247743
"147",108,2018,"SW","Heated","Drought",16,556.4,8,8,4.19738058803263,3.64198550693314,0.401994967649173,0.266355140186916,1,0.455248188366643,0.53666427030913,0.00192307692307693,0.0466031631919482,0.414809489575845
"148",109,2018,"NE","Control","Drought",1,44.27,1,1,1,1,1,1,1,1,0,0,0,1
"149",109,2018,"NW","Heated","Drought",1,53.73,1,1,1,1,1,1,1,1,0,0,0,1
"150",109,2018,"SE","Control","Control",1,52.8,1,1,1,1,1,1,1,1,0,0,0,1
"151",109,2018,"SW","Heated","Control",1,136.27,1,1,1,1,1,1,1,1,0,0,0,1
"152",110,2018,"NE","Control","Control",4,54.54,3,3,1.32461898801683,1.16893574603832,0.921708837550422,0,1,0.389645248679441,0.077007700770077,0,0.00128346167950128,0.921708837550422
"153",110,2018,"NW","Heated","Control",4,191.53,4,4,2.37056088416659,1.80445602455648,0.722602203310186,0,1,0.45111400613912,0.216832872134914,0,0.0605649245549,0.722602203310186
"154",110,2018,"SE","Control","Drought",4,152.8,2,2,1.31250733923299,1.16621179366481,0.922774869109948,0,1,0.583105896832405,0.0772251308900524,0,0,0.922774869109948
"155",110,2018,"SW","Heated","Drought",4,71.94,3,3,2.66291957864789,2.48848841224821,0.479149291075897,0,1,0.829496137416071,0.604253544620518,0,0,0.395746455379483
"156",137,2018,"NE","Control","Drought",1,108.2,1,1,1,1,1,0,1,1,1,0,0,0
"157",137,2018,"NW","Heated","Control",1,210.87,1,1,1,1,1,0,1,1,1,0,0,0
"158",137,2018,"SE","Control","Control",1,128.93,1,1,1,1,1,0,1,1,1,0,0,0
"159",137,2018,"SW","Heated","Drought",1,270.47,1,1,1,1,1,0,1,1,1,0,0,0
"160",138,2018,"NE","Control","Drought",4,100.86,3,3,1.36936654933881,1.17483023078054,0.920087249652984,0,1,0.391610076926846,0,0.933273844933571,0.0667261550664287,0
"161",138,2018,"NW","Heated","Drought",4,90,2,2,1.30705690090091,1.16237687415333,0.924444444444445,0,1,0.581188437076665,0,0.924444444444445,0.0755555555555556,0
"162",138,2018,"SE","Control","Control",4,123.13,3,3,1.20341800824982,1.07830345257673,0.962641111020872,0,1,0.359434484192242,0,0.983188499959392,0.0168115000406075,0
"163",138,2018,"SW","Heated","Control",4,23,4,4,3.35663249906761,3.02700846875715,0.434782608695652,0,1,0.756752117189288,0,0.6,0.4,0
"164",167,2018,"NE","Control","Control",1,216.8,1,1,1,1,1,0,1,1,0,1,0,0
"165",167,2018,"NW","Heated","Control",1,201.07,1,1,1,1,1,0,1,1,0,1,0,0
"166",167,2018,"SE","Control","Drought",1,77.13,1,1,1,1,1,0,1,1,0,1,0,0
"167",167,2018,"SW","Heated","Drought",1,77.27,1,1,1,1,1,0,1,1,0,1,0,0
"168",176,2018,"NE","Control","Drought",4,198.26,3,3,1.75040884068285,1.56139395364271,0.766316957530516,0,1,0.520464651214235,0,0.766316957530516,0.00302632906284677,0.230656713406638
"169",176,2018,"NW","Heated","Control",4,114.67,3,3,2.15390195002169,1.96521628416699,0.6215226301561,0,1,0.655072094722329,0,0.6215226301561,0.029650300863347,0.348827068980553
"170",176,2018,"SE","Control","Control",4,179.4,2,2,1.44875727937288,1.27241095909323,0.87809364548495,0,1,0.636205479546614,0,0.87809364548495,0,0.12190635451505
"171",176,2018,"SW","Heated","Drought",4,131.81,3,3,1.86910595127621,1.67707355469839,0.724300128973522,0,1,0.559024518232797,0,0.724300128973522,0.00811774523935968,0.267582125787118
"172",201,2018,"NE","Control","Control",4,194.47,3,3,2.1625752821127,2.00796095069188,0.593767676248265,0,1,0.669320316897294,0.406232323751736,0,0,0.593767676248265
"173",201,2018,"NW","Heated","Control",4,275.93,3,3,1.89581484041716,1.80385694832134,0.665132461131446,0,1,0.601285649440446,0.665386148660892,0,0,0.334613851339108
"174",201,2018,"SE","Control","Drought",4,195.8,3,3,2.2486815163236,2.10971109167386,0.53661899897855,0,1,0.703237030557954,0.569969356486211,0,0,0.43003064351379
"175",201,2018,"SW","Heated","Drought",4,210.87,3,3,2.12239566775066,2.04169736383896,0.53269787072604,0,1,0.68056578794632,0.546308151941955,0,0,0.453691848058045
"176",202,2018,"NE","Control","Control",16,388.99,11,11,4.03391565901876,2.60707301240934,0.588524126584231,0.588524126584231,1,0.237006637491758,0.102136301704414,0.119437517673976,0.023830946810972,0.754595233810638
"177",202,2018,"NW","Heated","Drought",16,474.4,3,3,1.31990861127472,1.14206005778519,0.934232715008432,0.934232715008432,1,0.380686685928396,0.0510118043844857,0,0.0147554806070826,0.934232715008432
"178",202,2018,"SE","Control","Drought",16,357.39,9,9,3.38707621692717,2.13717925291199,0.666498782842273,0.666498782842273,1,0.237464361434666,0.105011332158147,0.162819329024315,0.0270572763647556,0.705112062452783
"179",202,2018,"SW","Heated","Control",16,402.2,8,8,2.84615986369699,1.94853634403128,0.697165589259075,0.697165589259075,1,0.24356704300391,0.0535305818000995,0.141397314768772,0.0188960716061661,0.786176031824963
"180",220,2018,"NE","Control","Drought",16,317.07,7,7,3.17170456732434,2.29437629829558,0.617308480777115,0.617308480777115,1,0.327768042613654,0.0700160847762323,0.0205948213328287,0.0696060806761914,0.839783013214747
"181",220,2018,"NW","Heated","Control",16,511.93,9,9,5.0343278869966,3.54877964235371,0.477272283319985,0.477272283319985,0.999999999999999,0.394308849150412,0.257203133240872,0.00820424667435001,0.0524876447951868,0.68210497528959
