"","Date","MaxTemp.degF.","MinTemp.degF.","Precip.inches.","TempSource","PrecipSource"
"28","11/28/1962",49,40,0,"Cedar Weather Station","Cedar Weather Station"
"29","11/29/1962",50,34,0,"Cedar Weather Station","Cedar Weather Station"
"30","11/30/1962",52,40,0,"Cedar Weather Station","Cedar Weather Station"
"31","12/1/1962",57,39,0,"Cedar Weather Station","Cedar Weather Station"
"32","12/2/1962",57,37,0.01,"Cedar Weather Station","Cedar Weather Station"
"33","12/3/1962",60,37,0,"Cedar Weather Station","Cedar Weather Station"
"34","12/4/1962",57,33,0,"Cedar Weather Station","Cedar Weather Station"
"35","12/5/1962",35,17,0.01,"Cedar Weather Station","Cedar Weather Station"
"36","12/6/1962",26,10,0,"Cedar Weather Station","Cedar Weather Station"
"37","12/7/1962",34,7,0,"Cedar Weather Station","Cedar Weather Station"
"38","12/8/1962",28,17,0,"Cedar Weather Station","Cedar Weather Station"
"39","12/9/1962",18,7,0,"Cedar Weather Station","Cedar Weather Station"
"40","12/10/1962",12,1,0,"Cedar Weather Station","Cedar Weather Station"
"41","12/11/1962",2,-10,0.01,"Cedar Weather Station","Cedar Weather Station"
"42","12/12/1962",6,-26,0,"Cedar Weather Station","Cedar Weather Station"
"43","12/13/1962",25,4,0,"Cedar Weather Station","Cedar Weather Station"
"44","12/14/1962",26,-2,0,"Cedar Weather Station","Cedar Weather Station"
"45","12/15/1962",33,25,0,"Cedar Weather Station","Cedar Weather Station"
"46","12/16/1962",39,28,0,"Cedar Weather Station","Cedar Weather Station"
"47","12/17/1962",47,21,0,"Cedar Weather Station","Cedar Weather Station"
"48","12/18/1962",45,25,0,"Cedar Weather Station","Cedar Weather Station"
"49","12/19/1962",38,23,0,"Cedar Weather Station","Cedar Weather Station"
"50","12/20/1962",26,14,0,"Cedar Weather Station","Cedar Weather Station"
"51","12/21/1962",26,18,0.01,"Cedar Weather Station","Cedar Weather Station"
"52","12/22/1962",34,15,0.06,"Cedar Weather Station","Cedar Weather Station"
"53","12/23/1962",17,-9,0,"Cedar Weather Station","Cedar Weather Station"
"54","12/24/1962",17,-6,0,"Cedar Weather Station","Cedar Weather Station"
"55","12/25/1962",16,-8,0.07,"Cedar Weather Station","Cedar Weather Station"
"56","12/26/1962",15,-21,0,"Cedar Weather Station","Cedar Weather Station"
"57","12/27/1962",23,-8,0.02,"Cedar Weather Station","Cedar Weather Station"
"58","12/28/1962",34,4,0,"Cedar Weather Station","Cedar Weather Station"
"59","12/29/1962",30,-3,0,"Cedar Weather Station","Cedar Weather Station"
"60","12/30/1962",8,-1,0,"Cedar Weather Station","Cedar Weather Station"
"61","12/31/1962",20,6,0,"Cedar Weather Station","Cedar Weather Station"
"62","1/1/1963",25,19,0.01,"Cedar Weather Station","Cedar Weather Station"
"63","1/2/1963",28,22,0,"Cedar Weather Station","Cedar Weather Station"
"64","1/3/1963",30,24,0,"Cedar Weather Station","Cedar Weather Station"
"65","1/4/1963",28,24,0,"Cedar Weather Station","Cedar Weather Station"
"66","1/5/1963",31,14,0,"Cedar Weather Station","Cedar Weather Station"
"67","1/6/1963",29,16,0.02,"Cedar Weather Station","Cedar Weather Station"
"68","1/7/1963",42,28,0,"Cedar Weather Station","Cedar Weather Station"
"69","1/8/1963",38,21,0,"Cedar Weather Station","Cedar Weather Station"
"70","1/9/1963",38,18,0,"Cedar Weather Station","Cedar Weather Station"
"71","1/10/1963",26,-3,0.04,"Cedar Weather Station","Cedar Weather Station"
"72","1/11/1963",6,-5,0,"Cedar Weather Station","Cedar Weather Station"
"73","1/12/1963",5,-2,0.17,"Cedar Weather Station","Cedar Weather Station"
"74","1/13/1963",7,-14,0.01,"Cedar Weather Station","Cedar Weather Station"
"75","1/14/1963",-3,-20,0,"Cedar Weather Station","Cedar Weather Station"
"76","1/15/1963",-3,-27,0,"Cedar Weather Station","Cedar Weather Station"
"77","1/16/1963",17,-20,0,"Cedar Weather Station","Cedar Weather Station"
"78","1/17/1963",16,-7,0,"Cedar Weather Station","Cedar Weather Station"
"79","1/18/1963",16,-15,0,"Cedar Weather Station","Cedar Weather Station"
"80","1/19/1963",-5,-20,0,"Cedar Weather Station","Cedar Weather Station"
"81","1/20/1963",-5,-15,0.02,"Cedar Weather Station","Cedar Weather Station"
"82","1/21/1963",-5,-28,0.02,"Cedar Weather Station","Cedar Weather Station"
"83","1/22/1963",-5,-23,0,"Cedar Weather Station","Cedar Weather Station"
"84","1/23/1963",-1,-31,0,"Cedar Weather Station","Cedar Weather Station"
"85","1/24/1963",5,-11,0,"Cedar Weather Station","Cedar Weather Station"
"86","1/25/1963",9,-19,0,"Cedar Weather Station","Cedar Weather Station"
"87","1/26/1963",4,-24,0,"Cedar Weather Station","Cedar Weather Station"
"88","1/27/1963",3,-18,0,"Cedar Weather Station","Cedar Weather Station"
"89","1/28/1963",17,-11,0,"Cedar Weather Station","Cedar Weather Station"
"90","1/29/1963",13,-6,0.02,"Cedar Weather Station","Cedar Weather Station"
"91","1/30/1963",6,-17,0,"Cedar Weather Station","Cedar Weather Station"
"92","1/31/1963",18,-7,0,"Cedar Weather Station","Cedar Weather Station"
"93","2/1/1963",34,10,0.03,"Cedar Weather Station","Cedar Weather Station"
"94","2/2/1963",36,-8,0,"Cedar Weather Station","Cedar Weather Station"
"95","2/3/1963",8,-15,0,"Cedar Weather Station","Cedar Weather Station"
"96","2/4/1963",28,7,0.06,"Cedar Weather Station","Cedar Weather Station"
"97","2/5/1963",42,11,0,"Cedar Weather Station","Cedar Weather Station"
"98","2/6/1963",40,30,0,"Cedar Weather Station","Cedar Weather Station"
"99","2/7/1963",32,24,0,"Cedar Weather Station","Cedar Weather Station"
"100","2/8/1963",25,12,0.05,"Cedar Weather Station","Cedar Weather Station"
"101","2/9/1963",25,4,0.01,"Cedar Weather Station","Cedar Weather Station"
"102","2/10/1963",21,10,0.04,"Cedar Weather Station","Cedar Weather Station"
"103","2/11/1963",22,-1,0.01,"Cedar Weather Station","Cedar Weather Station"
"104","2/12/1963",27,14,0,"Cedar Weather Station","Cedar Weather Station"
"105","2/13/1963",27,12,0,"Cedar Weather Station","Cedar Weather Station"
"106","2/14/1963",17,12,0,"Cedar Weather Station","Cedar Weather Station"
"107","2/15/1963",21,-19,0,"Cedar Weather Station","Cedar Weather Station"
"108","2/16/1963",25,13,0,"Cedar Weather Station","Cedar Weather Station"
"109","2/17/1963",29,18,0,"Cedar Weather Station","Cedar Weather Station"
"110","2/18/1963",31,12,0.03,"Cedar Weather Station","Cedar Weather Station"
"111","2/19/1963",32,10,0,"Cedar Weather Station","Cedar Weather Station"
"112","2/20/1963",22,-10,0,"Cedar Weather Station","Cedar Weather Station"
"113","2/21/1963",0,-18,0,"Cedar Weather Station","Cedar Weather Station"
"114","2/22/1963",17,-11,0,"Cedar Weather Station","Cedar Weather Station"
"115","2/23/1963",25,-16,0,"Cedar Weather Station","Cedar Weather Station"
"116","2/24/1963",27,-8,0,"Cedar Weather Station","Cedar Weather Station"
"117","2/25/1963",14,-11,0,"Cedar Weather Station","Cedar Weather Station"
"118","2/26/1963",21,-18,0,"Cedar Weather Station","Cedar Weather Station"
"119","2/27/1963",29,13,0,"Cedar Weather Station","Cedar Weather Station"
"120","2/28/1963",26,-5,0,"Cedar Weather Station","Cedar Weather Station"
"121","3/1/1963",39,14,0,"Cedar Weather Station","Cedar Weather Station"
"122","3/2/1963",42,26,0,"Cedar Weather Station","Cedar Weather Station"
"123","3/3/1963",37,22,0,"Cedar Weather Station","Cedar Weather Station"
"124","3/4/1963",35,28,0,"Cedar Weather Station","Cedar Weather Station"
"125","3/5/1963",39,10,0,"Cedar Weather Station","Cedar Weather Station"
"126","3/6/1963",37,17,0.01,"Cedar Weather Station","Cedar Weather Station"
"127","3/7/1963",35,17,0.02,"Cedar Weather Station","Cedar Weather Station"
"128","3/8/1963",34,18,0,"Cedar Weather Station","Cedar Weather Station"
"129","3/9/1963",31,6,0.2,"Cedar Weather Station","Cedar Weather Station"
"130","3/10/1963",27,-12,0,"Cedar Weather Station","Cedar Weather Station"
"131","3/11/1963",37,18,0.09,"Cedar Weather Station","Cedar Weather Station"
"132","3/12/1963",37,31,0,"Cedar Weather Station","Cedar Weather Station"
"133","3/13/1963",36,15,0,"Cedar Weather Station","Cedar Weather Station"
"134","3/14/1963",46,9,0,"Cedar Weather Station","Cedar Weather Station"
"135","3/15/1963",44,27,0,"Cedar Weather Station","Cedar Weather Station"
"136","3/16/1963",39,36,0.09,"Cedar Weather Station","Cedar Weather Station"
"137","3/17/1963",41,31,0,"Cedar Weather Station","Cedar Weather Station"
"138","3/18/1963",37,25,0,"Cedar Weather Station","Cedar Weather Station"
"139","3/19/1963",36,22,0.69,"Cedar Weather Station","Cedar Weather Station"
"140","3/20/1963",39,23,0,"Cedar Weather Station","Cedar Weather Station"
"141","3/21/1963",38,11,0,"Cedar Weather Station","Cedar Weather Station"
"142","3/22/1963",46,11,0,"Cedar Weather Station","Cedar Weather Station"
"143","3/23/1963",65,28,0,"Cedar Weather Station","Cedar Weather Station"
"144","3/24/1963",73,40,0,"Cedar Weather Station","Cedar Weather Station"
"145","3/25/1963",64,36,0.04,"Cedar Weather Station","Cedar Weather Station"
"146","3/26/1963",54,28,0,"Cedar Weather Station","Cedar Weather Station"
"147","3/27/1963",59,30,0,"Cedar Weather Station","Cedar Weather Station"
"148","3/28/1963",65,27,0,"Cedar Weather Station","Cedar Weather Station"
"149","3/29/1963",69,52,0,"Cedar Weather Station","Cedar Weather Station"
"150","3/30/1963",76,31,0,"Cedar Weather Station","Cedar Weather Station"
"151","3/31/1963",73,42,0,"Cedar Weather Station","Cedar Weather Station"
"152","4/1/1963",69,48,0,"Cedar Weather Station","Cedar Weather Station"
"153","4/2/1963",76,57,0,"Cedar Weather Station","Cedar Weather Station"
"154","4/3/1963",71,28,0,"Cedar Weather Station","Cedar Weather Station"
"155","4/4/1963",50,23,0,"Cedar Weather Station","Cedar Weather Station"
"156","4/5/1963",65,32,0,"Cedar Weather Station","Cedar Weather Station"
"157","4/6/1963",67,26,0,"Cedar Weather Station","Cedar Weather Station"
"158","4/7/1963",67,39,0.42,"Cedar Weather Station","Cedar Weather Station"
"159","4/8/1963",47,39,0,"Cedar Weather Station","Cedar Weather Station"
"160","4/9/1963",51,23,0,"Cedar Weather Station","Cedar Weather Station"
"161","4/10/1963",49,19,0,"Cedar Weather Station","Cedar Weather Station"
"162","4/11/1963",54,26,0,"Cedar Weather Station","Cedar Weather Station"
"163","4/12/1963",56,40,0.02,"Cedar Weather Station","Cedar Weather Station"
"164","4/13/1963",62,34,0,"Cedar Weather Station","Cedar Weather Station"
"165","4/14/1963",72,27,0,"Cedar Weather Station","Cedar Weather Station"
"166","4/15/1963",74,39,0,"Cedar Weather Station","Cedar Weather Station"
"167","4/16/1963",80,37,0.25,"Cedar Weather Station","Cedar Weather Station"
"168","4/17/1963",70,44,0,"Cedar Weather Station","Cedar Weather Station"
"169","4/18/1963",53,18,0.02,"Cedar Weather Station","Cedar Weather Station"
"170","4/19/1963",55,37,0.29,"Cedar Weather Station","Cedar Weather Station"
"171","4/20/1963",52,35,0,"Cedar Weather Station","Cedar Weather Station"
"172","4/21/1963",56,26,0,"Cedar Weather Station","Cedar Weather Station"
"173","4/22/1963",50,32,0.32,"Cedar Weather Station","Cedar Weather Station"
"174","4/23/1963",48,30,0.18,"Cedar Weather Station","Cedar Weather Station"
"175","4/24/1963",60,27,0,"Cedar Weather Station","Cedar Weather Station"
"176","4/25/1963",67,40,0,"Cedar Weather Station","Cedar Weather Station"
"177","4/26/1963",70,33,0.01,"Cedar Weather Station","Cedar Weather Station"
"178","4/27/1963",68,45,0,"Cedar Weather Station","Cedar Weather Station"
"179","4/28/1963",64,52,0.04,"Cedar Weather Station","Cedar Weather Station"
"180","4/29/1963",59,39,0.86,"Cedar Weather Station","Cedar Weather Station"
"181","4/30/1963",56,28,0,"Cedar Weather Station","Cedar Weather Station"
"182","5/1/1963",66,31,0,"Cedar Weather Station","Cedar Weather Station"
"183","5/2/1963",63,49,0.07,"Cedar Weather Station","Cedar Weather Station"
"184","5/3/1963",71,47,0.2,"Cedar Weather Station","Cedar Weather Station"
"185","5/4/1963",67,35,0,"Cedar Weather Station","Cedar Weather Station"
"186","5/5/1963",67,33,0,"Cedar Weather Station","Cedar Weather Station"
"187","5/6/1963",73,47,0,"Cedar Weather Station","Cedar Weather Station"
"188","5/7/1963",88,52,0.32,"Cedar Weather Station","Cedar Weather Station"
"189","5/8/1963",87,60,0,"Cedar Weather Station","Cedar Weather Station"
"190","5/9/1963",76,54,0,"Cedar Weather Station","Cedar Weather Station"
"191","5/10/1963",62,38,1.21,"Cedar Weather Station","Cedar Weather Station"
"192","5/11/1963",51,28,0,"Cedar Weather Station","Cedar Weather Station"
"193","5/12/1963",47,27,0.96,"Cedar Weather Station","Cedar Weather Station"
"194","5/13/1963",59,38,0.03,"Cedar Weather Station","Cedar Weather Station"
"195","5/14/1963",56,44,0,"Cedar Weather Station","Cedar Weather Station"
"196","5/15/1963",67,38,0,"Cedar Weather Station","Cedar Weather Station"
"197","5/16/1963",76,43,0,"Cedar Weather Station","Cedar Weather Station"
"198","5/17/1963",75,55,0.14,"Cedar Weather Station","Cedar Weather Station"
"199","5/18/1963",67,46,0,"Cedar Weather Station","Cedar Weather Station"
"200","5/19/1963",69,34,0,"Cedar Weather Station","Cedar Weather Station"
"201","5/20/1963",61,34,0.03,"Cedar Weather Station","Cedar Weather Station"
"202","5/21/1963",52,38,0.05,"Cedar Weather Station","Cedar Weather Station"
"203","5/22/1963",57,30,0,"Cedar Weather Station","Cedar Weather Station"
"204","5/23/1963",65,27,0,"Cedar Weather Station","Cedar Weather Station"
"205","5/24/1963",72,44,0.39,"Cedar Weather Station","Cedar Weather Station"
"206","5/25/1963",74,46,0,"Cedar Weather Station","Cedar Weather Station"
"207","5/26/1963",73,51,0,"Cedar Weather Station","Cedar Weather Station"
"208","5/27/1963",69,56,0.63,"Cedar Weather Station","Cedar Weather Station"
"209","5/28/1963",64,49,0.24,"Cedar Weather Station","Cedar Weather Station"
"210","5/29/1963",74,38,0,"Cedar Weather Station","Cedar Weather Station"
"211","5/30/1963",81,46,0,"Cedar Weather Station","Cedar Weather Station"
"212","5/31/1963",82,63,0.03,"Cedar Weather Station","Cedar Weather Station"
"213","6/1/1963",79,64,0,"Cedar Weather Station","Cedar Weather Station"
"214","6/2/1963",82,62,0.92,"Cedar Weather Station","Cedar Weather Station"
"215","6/3/1963",87,62,0.7,"Cedar Weather Station","Cedar Weather Station"
"216","6/4/1963",89,65,0,"Cedar Weather Station","Cedar Weather Station"
"217","6/5/1963",84,62,0.48,"Cedar Weather Station","Cedar Weather Station"
"218","6/6/1963",92,65,0,"Cedar Weather Station","Cedar Weather Station"
"219","6/7/1963",82,49,0.6,"Cedar Weather Station","Cedar Weather Station"
"220","6/8/1963",85,62,0.47,"Cedar Weather Station","Cedar Weather Station"
"221","6/9/1963",77,62,0.05,"Cedar Weather Station","Cedar Weather Station"
"222","6/10/1963",71,45,0.3,"Cedar Weather Station","Cedar Weather Station"
"223","6/11/1963",63,43,0,"Cedar Weather Station","Cedar Weather Station"
"224","6/12/1963",70,39,0,"Cedar Weather Station","Cedar Weather Station"
"225","6/13/1963",82,55,0,"Cedar Weather Station","Cedar Weather Station"
"226","6/14/1963",75,49,0,"Cedar Weather Station","Cedar Weather Station"
"227","6/15/1963",79,48,0,"Cedar Weather Station","Cedar Weather Station"
"228","6/16/1963",81,49,0,"Cedar Weather Station","Cedar Weather Station"
"229","6/17/1963",84,52,0,"Cedar Weather Station","Cedar Weather Station"
"230","6/18/1963",84,53,0,"Cedar Weather Station","Cedar Weather Station"
"231","6/19/1963",82,62,0.01,"Cedar Weather Station","Cedar Weather Station"
"232","6/20/1963",72,40,0,"Cedar Weather Station","Cedar Weather Station"
"233","6/21/1963",73,44,0,"Cedar Weather Station","Cedar Weather Station"
"234","6/22/1963",80,49,0,"Cedar Weather Station","Cedar Weather Station"
"235","6/23/1963",84,54,0,"Cedar Weather Station","Cedar Weather Station"
"236","6/24/1963",86,53,0,"Cedar Weather Station","Cedar Weather Station"
"237","6/25/1963",94,66,0,"Cedar Weather Station","Cedar Weather Station"
"238","6/26/1963",90,57,0.1,"Cedar Weather Station","Cedar Weather Station"
"239","6/27/1963",89,62,0,"Cedar Weather Station","Cedar Weather Station"
"240","6/28/1963",86,56,0.04,"Cedar Weather Station","Cedar Weather Station"
"241","6/29/1963",97,64,0,"Cedar Weather Station","Cedar Weather Station"
"242","6/30/1963",100,72,0,"Cedar Weather Station","Cedar Weather Station"
"243","7/1/1963",94,70,0,"Cedar Weather Station","Cedar Weather Station"
"244","7/2/1963",82,53,0,"Cedar Weather Station","Cedar Weather Station"
"245","7/3/1963",75,50,0,"Cedar Weather Station","Cedar Weather Station"
"246","7/4/1963",81,49,0,"Cedar Weather Station","Cedar Weather Station"
"247","7/5/1963",83,56,0,"Cedar Weather Station","Cedar Weather Station"
"248","7/6/1963",91,56,0,"Cedar Weather Station","Cedar Weather Station"
"249","7/7/1963",85,61,0,"Cedar Weather Station","Cedar Weather Station"
"250","7/8/1963",82,48,0,"Cedar Weather Station","Cedar Weather Station"
"251","7/9/1963",88,51,0,"Cedar Weather Station","Cedar Weather Station"
"252","7/10/1963",89,54,0,"Cedar Weather Station","Cedar Weather Station"
"253","7/11/1963",89,63,0,"Cedar Weather Station","Cedar Weather Station"
"254","7/12/1963",83,64,0.26,"Cedar Weather Station","Cedar Weather Station"
"255","7/13/1963",90,65,0.02,"Cedar Weather Station","Cedar Weather Station"
"256","7/14/1963",83,58,0,"Cedar Weather Station","Cedar Weather Station"
"257","7/15/1963",74,53,0,"Cedar Weather Station","Cedar Weather Station"
"258","7/16/1963",81,52,0.05,"Cedar Weather Station","Cedar Weather Station"
"259","7/17/1963",88,58,0.35,"Cedar Weather Station","Cedar Weather Station"
"260","7/18/1963",84,58,0.09,"Cedar Weather Station","Cedar Weather Station"
"261","7/19/1963",88,64,0.09,"Cedar Weather Station","Cedar Weather Station"
"262","7/20/1963",90,58,0.15,"Cedar Weather Station","Cedar Weather Station"
"263","7/21/1963",92,59,0,"Cedar Weather Station","Cedar Weather Station"
"264","7/22/1963",92,66,0,"Cedar Weather Station","Cedar Weather Station"
"265","7/23/1963",91,64,0,"Cedar Weather Station","Cedar Weather Station"
"266","7/24/1963",87,67,0.2,"Cedar Weather Station","Cedar Weather Station"
"267","7/25/1963",90,69,0,"Cedar Weather Station","Cedar Weather Station"
"268","7/26/1963",91,68,0.01,"Cedar Weather Station","Cedar Weather Station"
"269","7/27/1963",88,68,0.11,"Cedar Weather Station","Cedar Weather Station"
"270","7/28/1963",80,60,1.06,"Cedar Weather Station","Cedar Weather Station"
"271","7/29/1963",85,54,0,"Cedar Weather Station","Cedar Weather Station"
"272","7/30/1963",81,64,0.11,"Cedar Weather Station","Cedar Weather Station"
"273","7/31/1963",86,57,0,"Cedar Weather Station","Cedar Weather Station"
"274","8/1/1963",87,53,0,"Cedar Weather Station","Cedar Weather Station"
"275","8/2/1963",86,61,1.06,"Cedar Weather Station","Cedar Weather Station"
"276","8/3/1963",85,59,0,"Cedar Weather Station","Cedar Weather Station"
"277","8/4/1963",88,55,0,"Cedar Weather Station","Cedar Weather Station"
"278","8/5/1963",87,59,0,"Cedar Weather Station","Cedar Weather Station"
"279","8/6/1963",93,66,0,"Cedar Weather Station","Cedar Weather Station"
"280","8/7/1963",92,61,0,"Cedar Weather Station","Cedar Weather Station"
"281","8/8/1963",90,54,0,"Cedar Weather Station","Cedar Weather Station"
"282","8/9/1963",87,61,0,"Cedar Weather Station","Cedar Weather Station"
"283","8/10/1963",86,48,0,"Cedar Weather Station","Cedar Weather Station"
"284","8/11/1963",86,57,0.01,"Cedar Weather Station","Cedar Weather Station"
"285","8/12/1963",83,64,1.22,"Cedar Weather Station","Cedar Weather Station"
"286","8/13/1963",76,56,0,"Cedar Weather Station","Cedar Weather Station"
"287","8/14/1963",76,44,0,"Cedar Weather Station","Cedar Weather Station"
"288","8/15/1963",79,47,0,"Cedar Weather Station","Cedar Weather Station"
"289","8/16/1963",80,52,0.01,"Cedar Weather Station","Cedar Weather Station"
"290","8/17/1963",70,39,0,"Cedar Weather Station","Cedar Weather Station"
"291","8/18/1963",71,41,0,"Cedar Weather Station","Cedar Weather Station"
"292","8/19/1963",80,50,0,"Cedar Weather Station","Cedar Weather Station"
"293","8/20/1963",90,54,0,"Cedar Weather Station","Cedar Weather Station"
"294","8/21/1963",84,57,0,"Cedar Weather Station","Cedar Weather Station"
"295","8/22/1963",82,61,0.18,"Cedar Weather Station","Cedar Weather Station"
"296","8/23/1963",81,63,0.08,"Cedar Weather Station","Cedar Weather Station"
"297","8/24/1963",68,60,0,"Cedar Weather Station","Cedar Weather Station"
"298","8/25/1963",74,49,0,"Cedar Weather Station","Cedar Weather Station"
"299","8/26/1963",78,56,0,"Cedar Weather Station","Cedar Weather Station"
"300","8/27/1963",75,60,0.1,"Cedar Weather Station","Cedar Weather Station"
"301","8/28/1963",84,58,0,"Cedar Weather Station","Cedar Weather Station"
"302","8/29/1963",79,51,0,"Cedar Weather Station","Cedar Weather Station"
"303","8/30/1963",74,52,0,"Cedar Weather Station","Cedar Weather Station"
"304","8/31/1963",81,43,0,"Cedar Weather Station","Cedar Weather Station"
"305","9/1/1963",83,52,0,"Cedar Weather Station","Cedar Weather Station"
"306","9/2/1963",70,61,0.84,"Cedar Weather Station","Cedar Weather Station"
"307","9/3/1963",78,48,0.03,"Cedar Weather Station","Cedar Weather Station"
"308","9/4/1963",69,56,0,"Cedar Weather Station","Cedar Weather Station"
"309","9/5/1963",72,48,0,"Cedar Weather Station","Cedar Weather Station"
"310","9/6/1963",75,58,0,"Cedar Weather Station","Cedar Weather Station"
"311","9/7/1963",80,51,0,"Cedar Weather Station","Cedar Weather Station"
"312","9/8/1963",87,50,0,"Cedar Weather Station","Cedar Weather Station"
"313","9/9/1963",80,51,0,"Cedar Weather Station","Cedar Weather Station"
"314","9/10/1963",84,47,0,"Cedar Weather Station","Cedar Weather Station"
"315","9/11/1963",85,61,0,"Cedar Weather Station","Cedar Weather Station"
"316","9/12/1963",78,46,0.42,"Cedar Weather Station","Cedar Weather Station"
"317","9/13/1963",63,33,0,"Cedar Weather Station","Cedar Weather Station"
"318","9/14/1963",73,40,0,"Cedar Weather Station","Cedar Weather Station"
"319","9/15/1963",77,54,0.09,"Cedar Weather Station","Cedar Weather Station"
"320","9/16/1963",80,58,0.62,"Cedar Weather Station","Cedar Weather Station"
"321","9/17/1963",85,63,0,"Cedar Weather Station","Cedar Weather Station"
"322","9/18/1963",77,62,0.5,"Cedar Weather Station","Cedar Weather Station"
"323","9/19/1963",64,54,0,"Cedar Weather Station","Cedar Weather Station"
"324","9/20/1963",72,45,0,"Cedar Weather Station","Cedar Weather Station"
"325","9/21/1963",65,46,0,"Cedar Weather Station","Cedar Weather Station"
"326","9/22/1963",61,37,0,"Cedar Weather Station","Cedar Weather Station"
"327","9/23/1963",61,45,0.05,"Cedar Weather Station","Cedar Weather Station"
"328","9/24/1963",65,54,0.75,"Cedar Weather Station","Cedar Weather Station"
"329","9/25/1963",78,53,0.07,"Cedar Weather Station","Cedar Weather Station"
"330","9/26/1963",77,44,0,"Cedar Weather Station","Cedar Weather Station"
"331","9/27/1963",80,56,0,"Cedar Weather Station","Cedar Weather Station"
"332","9/28/1963",62,45,0.25,"Cedar Weather Station","Cedar Weather Station"
"333","9/29/1963",69,35,0,"Cedar Weather Station","Cedar Weather Station"
"334","9/30/1963",79,44,0,"Cedar Weather Station","Cedar Weather Station"
"335","10/1/1963",84,47,0,"Cedar Weather Station","Cedar Weather Station"
"336","10/2/1963",78,50,0,"Cedar Weather Station","Cedar Weather Station"
"337","10/3/1963",71,38,0,"Cedar Weather Station","Cedar Weather Station"
"338","10/4/1963",77,45,0,"Cedar Weather Station","Cedar Weather Station"
"339","10/5/1963",85,48,0,"Cedar Weather Station","Cedar Weather Station"
"340","10/6/1963",84,47,0,"Cedar Weather Station","Cedar Weather Station"
"341","10/7/1963",71,47,0,"Cedar Weather Station","Cedar Weather Station"
"342","10/8/1963",71,39,0,"Cedar Weather Station","Cedar Weather Station"
"343","10/9/1963",78,35,0,"Cedar Weather Station","Cedar Weather Station"
"344","10/10/1963",71,52,0,"Cedar Weather Station","Cedar Weather Station"
"345","10/11/1963",70,48,0,"Cedar Weather Station","Cedar Weather Station"
"346","10/12/1963",71,33,0,"Cedar Weather Station","Cedar Weather Station"
"347","10/13/1963",77,41,0,"Cedar Weather Station","Cedar Weather Station"
"348","10/14/1963",79,48,0,"Cedar Weather Station","Cedar Weather Station"
"349","10/15/1963",77,53,0,"Cedar Weather Station","Cedar Weather Station"
"350","10/16/1963",78,53,0,"Cedar Weather Station","Cedar Weather Station"
"351","10/17/1963",66,54,0,"Cedar Weather Station","Cedar Weather Station"
"352","10/18/1963",68,51,0,"Cedar Weather Station","Cedar Weather Station"
"353","10/19/1963",75,44,0,"Cedar Weather Station","Cedar Weather Station"
"354","10/20/1963",65,56,0.01,"Cedar Weather Station","Cedar Weather Station"
"355","10/21/1963",75,54,0.42,"Cedar Weather Station","Cedar Weather Station"
"356","10/22/1963",75,55,0,"Cedar Weather Station","Cedar Weather Station"
"357","10/23/1963",81,57,0,"Cedar Weather Station","Cedar Weather Station"
"358","10/24/1963",74,60,0.02,"Cedar Weather Station","Cedar Weather Station"
"359","10/25/1963",69,40,0,"Cedar Weather Station","Cedar Weather Station"
